period,stratum,sex,group,target_events,reference_events,population
2023-08,40-59,F,exposed,0,156,1146285
2023-08,40-59,F,unexposed,0,80,439677
2023-09,40-59,F,exposed,0,156,1146140
2023-09,40-59,F,unexposed,0,87,440898
2023-10,40-59,F,exposed,0,163,1146035
2023-10,40-59,F,unexposed,0,81,442083
2023-11,40-59,F,exposed,0,164,1145911
2023-11,40-59,F,unexposed,0,83,443278
2023-12,40-59,F,exposed,2,184,1145746
2023-12,40-59,F,unexposed,2,66,444524
2020-01,60-79,F,exposed,0,0,0
2020-01,60-79,F,unexposed,0,1574,1295590
2020-02,60-79,F,exposed,0,0,0
2020-02,60-79,F,unexposed,0,1562,1293399
2020-03,60-79,F,exposed,0,0,0
2020-03,60-79,F,unexposed,3,1673,1291202
2020-04,60-79,F,exposed,0,0,0
2020-04,60-79,F,unexposed,19,1472,1289016
2020-05,60-79,F,exposed,0,0,0
2020-05,60-79,F,unexposed,7,1475,1286822
2020-06,60-79,F,exposed,0,0,0
2020-06,60-79,F,unexposed,3,1488,1284630
2020-07,60-79,F,exposed,0,0,0
2020-07,60-79,F,unexposed,6,1543,1282440
2020-08,60-79,F,exposed,0,0,0
2020-08,60-79,F,unexposed,7,1627,1280239
2020-09,60-79,F,exposed,0,0,0
2020-09,60-79,F,unexposed,17,1612,1278047
2020-10,60-79,F,exposed,0,0,0
2020-10,60-79,F,unexposed,354,2008,1275857
2020-11,60-79,F,exposed,0,0,0
2020-11,60-79,F,unexposed,661,1864,1273667
2020-12,60-79,F,exposed,0,0,1262
2020-12,60-79,F,unexposed,545,1766,1270208
2021-01,60-79,F,exposed,7,22,26692
2021-01,60-79,F,unexposed,708,1778,1261638
2021-02,60-79,F,exposed,10,77,42161
2021-02,60-79,F,unexposed,769,1477,1244145
2021-03,60-79,F,exposed,59,169,305369
2021-03,60-79,F,unexposed,1197,1638,978912
2021-04,60-79,F,exposed,95,317,680969
2021-04,60-79,F,unexposed,489,1253,601292
2021-05,60-79,F,exposed,30,510,934374
2021-05,60-79,F,unexposed,154,994,345865
2021-06,60-79,F,exposed,8,664,990301
2021-06,60-79,F,unexposed,19,791,287913
2021-07,60-79,F,exposed,2,744,1019308
2021-07,60-79,F,unexposed,7,667,256890
2021-08,60-79,F,exposed,4,894,1033621
2021-08,60-79,F,unexposed,11,611,240549
2021-09,60-79,F,exposed,4,1022,1041198
2021-09,60-79,F,unexposed,6,594,230947
2021-10,60-79,F,exposed,13,1148,1047959
2021-10,60-79,F,unexposed,42,632,222166
2021-11,60-79,F,exposed,173,1211,1068638
2021-11,60-79,F,unexposed,289,655,199465
2021-12,60-79,F,exposed,217,1297,1076509
2021-12,60-79,F,unexposed,379,665,189569
2022-01,60-79,F,exposed,53,1134,1090482
2022-01,60-79,F,unexposed,130,508,192507
2022-02,60-79,F,exposed,102,1022,1089915
2022-02,60-79,F,unexposed,93,444,192415
2022-03,60-79,F,exposed,74,1151,1089126
2022-03,60-79,F,unexposed,68,475,192542
2022-04,60-79,F,exposed,31,1155,1088116
2022-04,60-79,F,unexposed,34,374,192895
2022-05,60-79,F,exposed,15,1139,1087100
2022-05,60-79,F,unexposed,9,384,193246
2022-06,60-79,F,exposed,4,1134,1086046
2022-06,60-79,F,unexposed,0,363,193641
2022-07,60-79,F,exposed,24,1237,1084918
2022-07,60-79,F,unexposed,5,358,194115
2022-08,60-79,F,exposed,36,1161,1083892
2022-08,60-79,F,unexposed,9,356,194477
2022-09,60-79,F,exposed,27,1265,1082741
2022-09,60-79,F,unexposed,15,367,194969
2022-10,60-79,F,exposed,58,1280,1081536
2022-10,60-79,F,unexposed,24,407,195514
2022-11,60-79,F,exposed,23,1244,1080331
2022-11,60-79,F,unexposed,14,372,196058
2022-12,60-79,F,exposed,33,1563,1078760
2022-12,60-79,F,unexposed,14,476,196966
2023-01,60-79,F,exposed,26,1456,1089113
2023-01,60-79,F,unexposed,12,378,207629
2023-02,60-79,F,exposed,11,1097,1088025
2023-02,60-79,F,unexposed,6,349,207377
2023-03,60-79,F,exposed,28,1290,1086716
2023-03,60-79,F,unexposed,10,337,207345
2023-04,60-79,F,exposed,10,1164,1085549
2023-04,60-79,F,unexposed,12,323,207176
2023-05,60-79,F,exposed,5,1117,1084429
2023-05,60-79,F,unexposed,3,314,206953
2023-06,60-79,F,exposed,3,1084,1083342
2023-06,60-79,F,unexposed,0,316,206702
2023-07,60-79,F,exposed,1,1116,1082225
2023-07,60-79,F,unexposed,0,300,206482
2023-08,60-79,F,exposed,0,1178,1081048
2023-08,60-79,F,unexposed,0,331,206314
2023-09,60-79,F,exposed,3,1115,1079943
2023-09,60-79,F,unexposed,6,286,206081
2023-10,60-79,F,exposed,13,1277,1078823
2023-10,60-79,F,unexposed,3,351,205864
2023-11,60-79,F,exposed,15,1275,1077644
2023-11,60-79,F,unexposed,14,374,205701
2023-12,60-79,F,exposed,56,1424,1076201
2023-12,60-79,F,unexposed,24,408,205803
2020-01,80+,F,exposed,0,0,0
2020-01,80+,F,unexposed,0,3042,332842
2020-02,80+,F,exposed,0,0,0
2020-02,80+,F,unexposed,0,2968,329644
2020-03,80+,F,exposed,0,0,0
2020-03,80+,F,unexposed,8,2989,326441
2020-04,80+,F,exposed,0,0,0
2020-04,80+,F,unexposed,37,2660,323248
2020-05,80+,F,exposed,0,0,0
2020-05,80+,F,unexposed,10,2503,320046
2020-06,80+,F,exposed,0,0,0
2020-06,80+,F,unexposed,5,2507,316847
2020-07,80+,F,exposed,0,0,0
2020-07,80+,F,unexposed,8,2517,313656
2020-08,80+,F,exposed,0,0,0
2020-08,80+,F,unexposed,9,2630,310452
2020-09,80+,F,exposed,0,0,0
2020-09,80+,F,unexposed,36,2538,307253
2020-10,80+,F,exposed,0,0,0
2020-10,80+,F,unexposed,624,3480,304056
2020-11,80+,F,exposed,0,0,0
2020-11,80+,F,unexposed,1209,3464,300858
2020-12,80+,F,exposed,0,0,521
2020-12,80+,F,unexposed,868,3230,297134
2021-01,80+,F,exposed,43,146,53211
2021-01,80+,F,unexposed,1266,3105,282595
2021-02,80+,F,exposed,82,512,122094
2021-02,80+,F,unexposed,819,2200,210602
2021-03,80+,F,exposed,242,884,203154
2021-03,80+,F,unexposed,923,1963,126427
2021-04,80+,F,exposed,100,1069,229604
2021-04,80+,F,unexposed,343,1384,96869
2021-05,80+,F,exposed,39,1254,243239
2021-05,80+,F,unexposed,94,1158,80123
2021-06,80+,F,exposed,7,1416,248567
2021-06,80+,F,unexposed,19,948,71684
2021-07,80+,F,exposed,4,1539,250318
2021-07,80+,F,unexposed,3,934,66829
2021-08,80+,F,exposed,5,1559,250927
2021-08,80+,F,unexposed,6,809,63100
2021-09,80+,F,exposed,4,1705,250686
2021-09,80+,F,unexposed,10,733,60230
2021-10,80+,F,exposed,44,1890,249914
2021-10,80+,F,unexposed,42,775,57893
2021-11,80+,F,exposed,255,2034,251692
2021-11,80+,F,unexposed,335,907,53005
2021-12,80+,F,exposed,291,2125,251754
2021-12,80+,F,unexposed,407,901,49828
2022-01,80+,F,exposed,88,2145,287926
2022-01,80+,F,unexposed,145,755,53129
2022-02,80+,F,exposed,214,2009,285955
2022-02,80+,F,unexposed,189,741,52288
2022-03,80+,F,exposed,123,2141,283792
2022-03,80+,F,unexposed,148,750,51633
2022-04,80+,F,exposed,77,2178,281595
2022-04,80+,F,unexposed,71,637,51025
2022-05,80+,F,exposed,30,1938,279674
2022-05,80+,F,unexposed,14,614,50130
2022-06,80+,F,exposed,7,1862,277832
2022-06,80+,F,unexposed,4,561,49157
2022-07,80+,F,exposed,47,1952,275865
2022-07,80+,F,unexposed,31,559,48317
2022-08,80+,F,exposed,79,2061,273822
2022-08,80+,F,unexposed,35,539,47544
2022-09,80+,F,exposed,62,1928,271934
2022-09,80+,F,unexposed,34,588,46617
2022-10,80+,F,exposed,101,2177,269718
2022-10,80+,F,unexposed,59,611,46025
2022-11,80+,F,exposed,45,2075,267640
2022-11,80+,F,unexposed,25,556,45290
2022-12,80+,F,exposed,71,2788,264796
2022-12,80+,F,unexposed,26,739,45316
2023-01,80+,F,exposed,35,2767,304276
2023-01,80+,F,unexposed,16,713,50852
2023-02,80+,F,exposed,30,2070,302188
2023-02,80+,F,unexposed,17,520,50276
2023-03,80+,F,exposed,52,2261,299878
2023-03,80+,F,unexposed,26,575,49917
2023-04,80+,F,exposed,32,2044,297803
2023-04,80+,F,unexposed,10,527,49333
2023-05,80+,F,exposed,12,2004,295788
2023-05,80+,F,unexposed,1,472,48682
2023-06,80+,F,exposed,0,1870,293918
2023-06,80+,F,unexposed,3,461,47886
2023-07,80+,F,exposed,2,1931,291985
2023-07,80+,F,unexposed,1,441,47159
2023-08,80+,F,exposed,2,1974,290010
2023-08,80+,F,unexposed,1,457,46463
2023-09,80+,F,exposed,12,1834,288182
2023-09,80+,F,unexposed,6,450,45625
2023-10,80+,F,exposed,34,2099,286212
2023-10,80+,F,unexposed,8,494,44934
2023-11,80+,F,exposed,55,2112,284151
2023-11,80+,F,unexposed,17,518,44331
2023-12,80+,F,exposed,113,2349,281714
2023-12,80+,F,unexposed,34,610,44099
